Model,Seed,HG Degree,HG PageRank,HG Eigenvector
ER,6243,0.21050484955608517,0.1758609893646472,0.2569576645017906
BA,6865,0.37604155507077636,0.3293944348821416,0.5876270101503895
ER,9435,0.21110776143760904,0.1763166593287256,0.2591962282231476
BA,3976,0.37750044110838604,0.3307914260590219,0.6103525990131374
ER,9782,0.2139049825071808,0.17869658625981039,0.2614706046943772
BA,6378,0.3744124386948445,0.3275750319215846,0.5886549602672192
ER,1864,0.21159636812513702,0.17636569308949546,0.2598253190635188
BA,9923,0.3763671362877674,0.32968830714562375,0.573096916471484
ER,8457,0.21145575028201608,0.17613332499099638,0.2609349284846235
BA,6931,0.37278202789006065,0.3259033236789246,0.6111743663430783
ER,2572,0.21220272937713552,0.17694262052677143,0.25986383798569346
BA,8875,0.3773142957673289,0.33063397770439207,0.617340832479151
ER,3886,0.21252478074745304,0.17702811613435496,0.261212423118856
BA,1123,0.3771881472035604,0.33035945228635566,0.5879589060946245
ER,9458,0.21331991663816197,0.17778489966260308,0.2620944909033032
BA,8457,0.3756051319111914,0.32873476520865824,0.5997635220901121
ER,8345,0.21342217703363323,0.17804699016211586,0.26520118111287366
BA,3547,0.37564674132663783,0.3288160419643654,0.6009522107267061
ER,9285,0.2103025574168455,0.1757269735467189,0.2570662704726955
BA,1938,0.37533288763504563,0.32848682032730514,0.6003860108014764
