Model,Seed,Clustering,Transitivity,Avg Path,Diameter,Assortativity,Modularity
ER,6243,0.0011439428965202161,0.001029351043599123,4.80862382713169,9,-0.007664983125428499,0.3436161331548501
BA,6865,0.005629710308733982,0.003631026186593908,4.210284253361437,7,-0.04182181809253981,0.39269908717006535
ER,9435,0.0009924740594843687,0.0009754398188468908,4.803564109559688,9,-0.0022810100058634772,0.3429763817477903
BA,3976,0.0064937379369178145,0.00367072915492731,4.162417536624087,7,-0.041604239091760434,0.3930539272460918
ER,9782,0.0007709270444261347,0.0008683319343541058,4.80384053340068,8,-0.008431335229159849,0.34081679796633163
BA,6378,0.0071422616589978125,0.0034626711109672827,4.164336727339389,7,-0.045420276456570596,0.3952805286778602
ER,1864,0.0009736246849648911,0.00102689656772876,4.805088843582488,9,-0.0021048635074900493,0.34105640858408903
BA,9923,0.005913268687670863,0.0031720679935556936,4.178248656847963,7,-0.0544292446719929,0.39441984889137094
ER,8457,0.0010262189537507912,0.0009397732941954497,4.805620479342323,9,0.0015045164256494924,0.3418290787308479
BA,6931,0.0065121669578077695,0.0035933868933005777,4.154741821970613,7,-0.03873526748260284,0.3940190789145323
ER,2572,0.0009927419721234153,0.0010620640024143094,4.803923253166771,9,0.003928348976400601,0.34039213235122423
BA,8875,0.007211416485355778,0.0035531123252773773,4.1871428159355375,7,-0.044904110870600755,0.38993280373819167
ER,3886,0.0009043563167274507,0.0009220331120067268,4.804998787344112,9,0.004085045601870462,0.33989518231623833
BA,1123,0.006185491328802669,0.0032433463703138415,4.19900658635506,7,-0.04902759523917898,0.39158260240840337
ER,9458,0.0008057599855659285,0.0007639463617054524,4.802592707408312,9,0.0018411635531349773,0.34208130315476293
BA,8457,0.007169009264957385,0.00386059803760035,4.18469804609808,7,-0.03075967915906619,0.39321445905350044
ER,8345,0.0007671304214663826,0.0008681510119746962,4.804607900075676,9,0.0024069137809508956,0.343725656373964
BA,3547,0.007190962794856884,0.003549757281553398,4.167210874122558,7,-0.03840581538210296,0.39250489005437594
ER,9285,0.0008291014734313703,0.0008201489064681247,4.810009725418852,9,-0.00478312785452079,0.34281053382498466
BA,1938,0.006234459523050216,0.003633795931669428,4.165946114435633,7,-0.043871519575177,0.39588898736175016
